conexion_id,player_id,ping_ms,status,fecha
1,103.0,21.994569884659718,EXITOSO,2026-05-26
2,436.0,52.0525954820415,EXITOSO,2026-05-26
3,861.0,67.32240881491484,EXITOSO,2026-05-26
4,271.0,9.235997811876821,EXITOSO,2026-05-26
5,107.0,17.454164930802236,EXITOSO,2026-05-26
6,72.0,32.22068496551128,EXITOSO,2026-05-26
7,701.0,21.800454084534387,EXITOSO,2026-05-26
8,21.0,61.470329061977196,FALLIDO,2026-05-26
9,615.0,74.44886385603523,FALLIDO,2026-05-26
10,122.0,68.95495241066372,EXITOSO,2026-05-26
11,,69.01327554991211,EXITOSO,2026-05-26
12,,126.83966861154444,EXITOSO,2026-05-26
13,,76.9473439850862,EXITOSO,2026-05-26
14,,91.35856991556989,EXITOSO,2026-05-26
15,,43.41537000892109,FALLIDO,2026-05-26
16,,97.76024570645964,EXITOSO,2026-05-26
17,100.0,41.505899048267125,EXITOSO,2026-05-26
18,872.0,76.45793310354361,EXITOSO,2026-05-26
19,664.0,5.145325272704696,EXITOSO,2026-05-26
20,131.0,66.64936527952487,EXITOSO,2026-05-26
21,662.0,-50.0,EXITOSO,2026-05-26
22,309.0,-50.0,EXITOSO,2026-05-26
23,770.0,-50.0,EXITOSO,2026-05-26
24,344.0,-50.0,INVALIDO,2026-05-26
25,492.0,-50.0,FALLIDO,2026-05-26
26,414.0,-50.0,EXITOSO,2026-05-26
27,806.0,-4.480756026901091,EXITOSO,2026-05-26
28,386.0,28.835281185492796,EXITOSO,2026-05-26
29,192.0,18.234359105685968,EXITOSO,2026-05-26
30,956.0,75.18408407145019,FALLIDO,2026-05-26
31,277.0,10.585478933101903,EXITOSO,2026-05-26
32,161.0,38.43143936775019,EXITOSO,2026-05-26
33,460.0,72.5820868214708,EXITOSO,2026-05-26
34,314.0,65.5458357884721,EXITOSO,2026-05-26
35,22.0,59.49424750632882,FALLIDO,2026-05-26
36,253.0,65.04002076176269,EXITOSO,2026-05-26
37,748.0,45.179996099693824,EXITOSO,2026-05-26
38,857.0,-4.150082226653225,EXITOSO,2026-05-26
39,561.0,44.1264711702142,EXITOSO,2026-05-26
40,475.0,78.74999137261142,EXITOSO,2026-05-26
41,59.0,54.522600455623824,FALLIDO,2026-05-26
42,511.0,75.65953492522003,EXITOSO,2026-05-26
43,682.0,36.52867881962059,FALLIDO,2026-05-26
44,476.0,99.77344319511715,INVALIDO,2026-05-26
45,700.0,-42.25271469885335,EXITOSO,2026-05-26
46,976.0,65.65762051693419,EXITOSO,2026-05-26
47,783.0,113.95521388485113,FALLIDO,2026-05-26
48,190.0,119.90794064165851,EXITOSO,2026-05-26
49,958.0,50.726953230300985,EXITOSO,2026-05-26
50,687.0,6.952073774284635,EXITOSO,2026-05-26
51,958.0,114.65891369373436,EXITOSO,2026-05-26
52,563.0,57.92539332777758,EXITOSO,2026-05-26
53,876.0,53.64121842920477,EXITOSO,2026-05-26
54,567.0,24.28581436489077,EXITOSO,2026-05-26
55,244.0,10.004500765669704,EXITOSO,2026-05-26
56,832.0,82.55452675697417,EXITOSO,2026-05-26
57,505.0,86.79485819034642,EXITOSO,2026-05-26
58,131.0,68.06176007197686,EXITOSO,2026-05-26
59,485.0,29.438168736246276,EXITOSO,2026-05-26
60,819.0,17.400046995634007,EXITOSO,2026-05-26
61,647.0,2.710053791204281,EXITOSO,2026-05-26
62,21.0,37.578192956881075,EXITOSO,2026-05-26
63,841.0,19.76585741004144,EXITOSO,2026-05-26
64,167.0,-8.372387811641815,FALLIDO,2026-05-26
65,274.0,86.05380049412193,EXITOSO,2026-05-26
66,388.0,7.237445540601314,EXITOSO,2026-05-26
67,601.0,99.35690725722935,EXITOSO,2026-05-26
68,316.0,75.76286840453855,FALLIDO,2026-05-26
69,14.0,71.77364750473596,EXITOSO,2026-05-26
70,242.0,126.61236184240366,EXITOSO,2026-05-26
71,777.0,8.567894637419009,EXITOSO,2026-05-26
72,346.0,94.95087984195183,EXITOSO,2026-05-26
73,565.0,48.09429707914281,EXITOSO,2026-05-26
74,898.0,162.8428062651816,EXITOSO,2026-05-26
75,340.0,44.76822275443162,FALLIDO,2026-05-26
76,92.0,38.30766655497527,EXITOSO,2026-05-26
77,367.0,77.02143099429065,FALLIDO,2026-05-26
78,956.0,51.64365871165442,EXITOSO,2026-05-26
79,455.0,29.66148150800523,EXITOSO,2026-05-26
80,428.0,21.188928642566502,FALLIDO,2026-05-26
81,509.0,118.32817953549613,EXITOSO,2026-05-26
82,776.0,13.46153472400033,EXITOSO,2026-05-26
83,943.0,68.92350241522,EXITOSO,2026-05-26
84,35.0,102.24736558504381,FALLIDO,2026-05-26
85,206.0,104.17979941770533,EXITOSO,2026-05-26
86,81.0,35.93390391274241,EXITOSO,2026-05-26
87,932.0,51.75260797496949,EXITOSO,2026-05-26
88,562.0,43.99225995942509,FALLIDO,2026-05-26
89,872.0,-1.4007505066349921,FALLIDO,2026-05-26
90,388.0,81.5006953208046,EXITOSO,2026-05-26
91,2.0,61.54014582539235,EXITOSO,2026-05-26
92,390.0,117.62340322407516,FALLIDO,2026-05-26
